identifierHash,country,language,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniority,country_short_list,x,y,kmeans
-5628009052359120428,Sweden,en,3,8,1,0,0,0.0,0,0,F,False,False,False,True,295,2857,Sweden,-0.159791574122249,-0.07350326924520358,0.0
4986121031260073649,Bulgaria,en,3,8,0,0,0,0.0,1,0,F,False,False,False,True,696,2857,Other,-0.14572854941757488,-0.09793270517660443,0.0
4087543184828882131,Netherlands,de,3,8,1,0,0,0.0,2,0,F,True,False,True,True,685,2857,Netherlands,-0.1268177225006393,-0.10138898769265384,0.0
563805945551682247,Spain,es,3,8,4,0,0,0.0,1,0,F,False,False,False,True,30,2857,Spain,-0.1360576603234276,-0.05602949889833598,0.0
8887315936641601696,Denmark,en,3,8,1,0,0,0.0,25,0,F,False,False,False,True,74,2856,Denmark,0.2531787187655601,-0.4206846206281619,0.0
8276007147076158723,Italy,it,3,8,24,0,0,0.0,0,1,M,True,True,False,True,284,2856,Italy,-0.10212238799739311,0.16523374818769732,0.0
-3898793358784298085,Romania,en,3,8,0,0,0,0.0,1,0,F,True,False,True,True,632,2856,Other,-0.1457185381445113,-0.09791524672498543,0.0
1903017288844642080,UK,en,5,8,248,0,0,0.0,33,1,F,True,False,True,True,124,2856,UK,0.9826502890270369,2.0515110696325194,0.0
2194068458870999004,US,en,3,8,1,0,0,0.0,0,0,F,True,False,True,True,535,2856,US,-0.15982911639623745,-0.07356873843877512,0.0
-2287421963476981869,France,fr,4,8,1,2,2,0.0,0,0,F,True,True,False,True,117,2856,France,-0.15590255603361164,-0.06408767010451522,0.0
-5770983631841555227,UK,en,3,8,1,0,0,0.0,0,0,F,False,False,False,True,695,2856,UK,-0.15985414457889635,-0.07361238456782287,0.0
-41769490820113040,Germany,de,3,8,7,0,0,0.0,7,0,F,False,False,False,True,17,2856,Germany,-0.02977602137019179,-0.10807279872445963,0.0
6202059804712118664,UK,en,3,8,1,0,0,0.0,0,0,F,False,False,False,True,651,2856,UK,-0.15984726182866513,-0.07360038188233474,0.0
2688147026161572294,US,en,5,8,0,2,0,0.0,0,0,F,False,False,False,False,492,2856,US,-0.1575503794571232,-0.0733712209048018,0.0
7321318389660047640,UK,en,3,9,1,0,0,0.0,0,0,F,False,False,False,True,695,2856,UK,-0.15677810239899354,-0.069262558032894,0.0
2763269028448881094,Ireland,en,3,8,1,0,0,0.0,1,0,M,True,False,True,True,352,2856,Other,-0.14328306150390077,-0.08740848368262505,0.0
5118561750915997895,US,en,3,8,12,0,0,0.0,0,0,F,True,False,True,True,589,2856,US,-0.13352911287735406,0.04115073647446664,0.0
7128359010791850101,US,en,3,8,28,0,0,0.0,1,0,F,True,False,True,True,87,2856,US,-0.07866632091052367,0.19428412776483528,0.0
1383315830268739601,US,en,7,8,4,0,0,0.0,3,0,M,True,False,True,True,650,2856,US,-0.09524623677548691,-0.0676039625681899,0.0
4836864004380167226,UK,en,4,8,108,0,0,0.0,1,5,F,True,False,True,False,97,2856,UK,0.12792912326576933,1.026981601633,0.0
-6342448834975839573,France,fr,3,8,0,0,0,0.0,1,0,F,False,False,False,True,695,2856,France,-0.1457283929914333,-0.09793243238829794,0.0
8485564645274090197,UK,en,3,8,3,0,0,0.0,0,0,F,True,True,False,True,14,2856,UK,-0.1549642637345395,-0.05256585109800979,0.0
6719905080188285607,UK,en,3,8,2,0,0,0.0,7,0,F,False,False,False,True,695,2856,UK,-0.04184046489899585,-0.1604096607789336,0.0
5632263232103021280,US,en,3,8,9,0,0,0.0,0,0,F,True,False,True,True,16,2856,US,-0.14061451266107872,0.010015897224538207,0.0
3176054806472567878,US,en,3,8,1,0,0,0.0,0,1,F,False,False,False,True,374,2856,US,-0.15714504473215765,-0.0746895960400096,0.0
1485968931010306983,Spain,es,3,8,1,0,0,0.0,0,0,F,False,False,False,True,695,2856,Spain,-0.15985414457889635,-0.07361238456782287,0.0
-1275455844687493819,Finland,en,3,8,1,0,0,0.0,0,0,F,False,False,False,True,160,2856,Other,-0.1597704565931305,-0.07346644282381953,0.0
5983616549221900633,UK,en,3,8,0,0,0,0.0,1,0,F,False,False,False,True,695,2856,UK,-0.1457283929914333,-0.09793243238829794,0.0
1616598124430878674,UK,en,4,10,1,0,0,0.0,0,0,F,True,False,True,True,620,2856,UK,-0.15172194077374354,-0.06079877335294843,0.0
-6607085487303203961,Italy,it,4,8,1,1,0,0.0,0,0,F,True,False,True,True,426,2856,Italy,-0.15748022197880998,-0.06823091953670207,0.0
-553701673936829553,UK,en,4,8,1,0,0,0.0,3,1,F,True,False,True,False,54,2856,UK,-0.10557431415685253,-0.11217780127173327,0.0
6889205678724755008,Canada,en,3,8,9,1,0,0.0,0,0,F,False,False,False,True,228,2856,Canada,-0.1402842185198367,0.011172652058183746,0.0
5665147389912880363,US,en,3,8,0,0,0,0.0,0,1,F,False,False,False,True,686,2856,US,-0.1595855270093,-0.08520508830817954,0.0
2848571198977657453,Sweden,en,6,10,214,0,0,0.0,243,1,F,False,False,False,True,11,2856,Sweden,4.3781314788813175,-1.2071277077879972,1.0
-3562894825577456344,Spain,es,3,8,1,0,0,0.0,0,0,F,False,False,False,True,695,2856,Spain,-0.15985414457889635,-0.07361238456782287,0.0
-7057132002390993491,Italy,it,3,8,0,0,0,0.0,4,0,F,True,False,True,True,689,2856,Italy,-0.09617516770932219,-0.13959979217030333,0.0
-4943378800551770,UK,en,3,8,2,0,0,0.0,0,0,F,False,False,False,True,695,2856,UK,-0.157462467257939,-0.06318200225129603,0.0
2058623321896465598,Belgium,en,3,8,4,0,0,0.0,0,0,F,True,False,True,True,275,2856,Belgium,-0.15261341363654457,-0.04220666652949208,0.0
1858845707037724,Germany,en,3,8,3,0,0,0.0,0,0,M,True,False,True,True,20,2856,Germany,-0.15496520229138921,-0.052567487827849084,0.0
-8669046487738124198,France,fr,3,8,4,0,0,0.0,1,0,F,True,False,True,True,695,2856,France,-0.13616168370760387,-0.05621090312219056,0.0
1568557442579668286,France,fr,7,10,0,0,0,0.0,4,0,F,True,False,True,True,64,2856,France,-0.08205176707210177,-0.11435565032075054,0.0
9217748480266465438,Netherlands,en,5,8,1,0,0,0.0,0,2,F,True,False,True,True,598,2856,Netherlands,-0.15058442216314938,-0.06772847909521405,0.0
-3844182756779623802,Italy,it,3,8,1,0,0,0.0,0,0,M,True,False,True,True,595,2856,Italy,-0.15983850196473454,-0.07358510573716802,0.0
-5069474277909108868,Australia,en,3,8,0,0,0,0.0,85,0,M,True,False,True,True,303,2856,Australia,1.2417969543633998,-1.2645574017037822,0.0
-2856603400450268810,US,en,3,8,2,0,0,0.0,22,0,F,True,False,True,True,496,2856,US,0.20595209752949303,-0.36870035846515375,0.0
1680727648683341398,Spain,es,3,11,2,0,0,0.0,0,0,F,True,False,True,True,60,2856,Spain,-0.14813501011830293,-0.04995930207185117,0.0
8031627369282319455,UK,en,9,8,81,0,0,0.0,1,2,F,True,False,True,True,166,2856,UK,0.06520831845394089,0.7693042813595172,0.0
-9076880708817534382,UK,en,3,8,18,0,0,0.0,0,0,F,True,False,True,True,44,2856,UK,-0.1190937967044279,0.10388170000069658,0.0
5381225474844953310,US,en,3,8,3,0,0,0.0,0,0,F,True,False,True,True,695,2856,US,-0.15507078993698173,-0.05275161993476915,0.0
-6017607234777075485,France,fr,3,8,1,0,0,0.0,0,0,F,True,False,True,True,629,2856,France,-0.15984382045354956,-0.07359438053959069,0.0
-4681874695122556569,Mexique,es,3,8,1,0,0,0.0,0,0,F,True,False,True,True,692,2856,Other,-0.15985367530047154,-0.07361156620290324,0.0
-4920824800297811074,US,en,3,8,0,0,0,0.0,3,0,F,False,False,False,True,695,2856,US,-0.11269353517459235,-0.1257117633961944,0.0
-8366425658006386754,UK,fr,4,8,3,2,8,87.0,120,7,M,True,False,True,True,11,2856,UK,1.8530986795292423,-1.7095781703423862,1.0
1012305259144966746,US,en,10,8,0,0,1,0.0,0,0,F,True,False,True,True,606,2856,US,-0.1478702506880824,-0.053941809625472924,0.0
-9037811208909394278,France,fr,3,8,28,0,0,0.0,1,1,M,True,False,True,True,40,2856,France,-0.07600008182658839,0.19313217229665425,0.0
-361139727058748187,Germany,de,5,8,1,0,0,0.0,0,3,F,False,False,False,True,585,2856,Germany,-0.1479235015680291,-0.06888970936581768,0.0
-1083708705732042147,Denmark,en,3,8,1,0,0,0.0,0,0,F,False,False,False,True,21,2856,Denmark,-0.15974871335944552,-0.07342852524920933,0.0
